gcc_size, pn 
126670, 0.989609
125387, 0.979586
124103, 0.969555
122817, 0.959508
121534, 0.949484
120249, 0.939445
118963, 0.929398
117680, 0.919375
116397, 0.909352
115114, 0.899328
113824, 0.88925
112531, 0.879148
111246, 0.869109
109957, 0.859039
108672, 0.849
107380, 0.838906
106089, 0.82882
104796, 0.818719
103504, 0.808625
102208, 0.7985
100911, 0.788367
99616, 0.77825
98320, 0.768125
97027, 0.758023
95733, 0.747914
94427, 0.737711
93112, 0.727437
91801, 0.717195
90498, 0.707016
89197, 0.696852
87892, 0.686656
86579, 0.676398
85267, 0.666148
83952, 0.655875
82632, 0.645563
81296, 0.635125
79972, 0.624781
78646, 0.614422
77317, 0.604039
75981, 0.593602
74656, 0.58325
73301, 0.572664
71970, 0.562266
70623, 0.551742
69265, 0.541133
67909, 0.530539
66539, 0.519836
65182, 0.509234
63805, 0.498477
62421, 0.487664
61029, 0.476789
59637, 0.465914
58237, 0.454977
56818, 0.443891
55377, 0.432633
53909, 0.421164
52462, 0.409859
50986, 0.398328
49532, 0.386969
48074, 0.375578
46531, 0.363523
44964, 0.351281
43422, 0.339234
41816, 0.326688
40178, 0.313891
38549, 0.301164
36863, 0.287992
35157, 0.274664
33441, 0.261258
31582, 0.246734
29653, 0.231664
27708, 0.216469
25632, 0.20025
23552, 0.184
21226, 0.165828
18783, 0.146742
16085, 0.125664
12932, 0.101031
9064, 0.0708125
2482, 0.0193906
12, 9.375e-05
1, 7.8125e-06
