gcc_size, pn/p, pc,p, avg_degree 
989634, 3.19323, 0.00439672, 7.92277, 7.92277
979608, 3.12902, 0.00430832, 7.84293, 7.84293
969578, 3.06535, 0.00422065, 7.76281, 7.76281
959538, 3.00187, 0.00413325, 7.68161, 7.68161
949504, 2.93938, 0.0040472, 7.60118, 7.60118
939457, 2.87771, 0.00396229, 7.52128, 7.52128
929412, 2.81686, 0.0038785, 7.44181, 7.44181
919371, 2.75654, 0.00379545, 7.362, 7.362
909314, 2.69713, 0.00371365, 7.28299, 7.28299
899265, 2.63791, 0.00363211, 7.20269, 7.20269
889208, 2.57933, 0.00355146, 7.1224, 7.1224
879148, 2.52204, 0.00347258, 7.04389, 7.04389
869086, 2.46503, 0.00339408, 6.96437, 6.96437
859033, 2.40862, 0.00331641, 6.88464, 6.88464
848956, 2.35294, 0.00323974, 6.80531, 6.80531
838884, 2.29771, 0.00316369, 6.72535, 6.72535
828786, 2.24298, 0.00308833, 6.64515, 6.64515
818693, 2.189, 0.00301402, 6.5652, 6.5652
808602, 2.13599, 0.00294102, 6.48614, 6.48614
798506, 2.08337, 0.00286857, 6.40635, 6.40635
788401, 2.03157, 0.00279725, 6.32713, 6.32713
778284, 1.98043, 0.00272683, 6.24803, 6.24803
768155, 1.92986, 0.00265721, 6.16878, 6.16878
758016, 1.87991, 0.00258843, 6.0895, 6.0895
747868, 1.8305, 0.0025204, 6.0099, 6.0099
737700, 1.78199, 0.0024536, 5.93126, 5.93126
727532, 1.73399, 0.00238751, 5.85215, 5.85215
717329, 1.68664, 0.00232231, 5.77332, 5.77332
707139, 1.63998, 0.00225807, 5.6945, 5.6945
696920, 1.59405, 0.00219484, 5.6162, 5.6162
686696, 1.54871, 0.00213241, 5.53768, 5.53768
676455, 1.5042, 0.00207112, 5.45996, 5.45996
666182, 1.45988, 0.00201009, 5.38079, 5.38079
655927, 1.4164, 0.00195023, 5.30217, 5.30217
645621, 1.37346, 0.00189111, 5.2235, 5.2235
635329, 1.33116, 0.00183286, 5.14464, 5.14464
625027, 1.28958, 0.00177561, 5.06608, 5.06608
614686, 1.24845, 0.00171897, 4.98699, 4.98699
604294, 1.20808, 0.00166339, 4.90874, 4.90874
593868, 1.16847, 0.00160886, 4.83115, 4.83115
583426, 1.12916, 0.00155472, 4.75215, 4.75215
572986, 1.09079, 0.0015019, 4.67433, 4.67433
562476, 1.05324, 0.0014502, 4.59776, 4.59776
551895, 1.01612, 0.00139908, 4.52074, 4.52074
541284, 0.979691, 0.00134893, 4.44413, 4.44413
530603, 0.943911, 0.00129966, 4.36801, 4.36801
519952, 0.908869, 0.00125141, 4.292, 4.292
509182, 0.874134, 0.00120359, 4.21529, 4.21529
498376, 0.840183, 0.00115684, 4.13942, 4.13942
487536, 0.807066, 0.00111124, 4.06466, 4.06466
476666, 0.774193, 0.00106598, 3.98802, 3.98802
465742, 0.742015, 0.00102167, 3.91192, 3.91192
454734, 0.710248, 0.000977933, 3.83508, 3.83508
443580, 0.679067, 0.000935, 3.75892, 3.75892
432417, 0.648854, 0.000893401, 3.6844, 3.6844
421113, 0.618926, 0.000852193, 3.60879, 3.60879
409728, 0.590027, 0.000812402, 3.53589, 3.53589
398205, 0.561291, 0.000772834, 3.46101, 3.46101
386615, 0.533502, 0.000734572, 3.38828, 3.38828
374837, 0.505894, 0.000696558, 3.3139, 3.3139
362899, 0.479045, 0.000659591, 3.24125, 3.24125
350868, 0.452628, 0.00062322, 3.16753, 3.16753
338518, 0.426717, 0.000587539, 3.09514, 3.09514
326119, 0.401573, 0.000552914, 3.02351, 3.02351
313513, 0.377033, 0.000519129, 2.95288, 2.95288
300574, 0.352932, 0.000485937, 2.88311, 2.88311
287392, 0.329239, 0.000453315, 2.81293, 2.81293
273747, 0.305959, 0.000421246, 2.74433, 2.74433
259729, 0.282972, 0.000389614, 2.67513, 2.67513
245341, 0.260467, 0.000358604, 2.60678, 2.60678
230532, 0.238314, 0.000328109, 2.53829, 2.53829
215156, 0.216635, 0.000298232, 2.47228, 2.47228
199186, 0.195097, 0.00026855, 2.40499, 2.40499
182132, 0.173733, 0.000239092, 2.34218, 2.34218
163984, 0.152128, 0.000209287, 2.27787, 2.27787
144007, 0.129986, 0.000178769, 2.21634, 2.21634
122300, 0.107353, 0.000147489, 2.1553, 2.1553
97436, 0.0832591, 0.00011418, 2.09814, 2.09814
67020, 0.0557232, 7.58237e-05, 2.04152, 2.04152
23376, 0.0188779, 2.47486e-05, 1.98293, 1.98293
47, 3.74684e-05, 5.15899e-08, 1.95745, 1.95745
1, nan, 0, nan, nan
